config,baseline,instant-removal-offsetting,physical-delay-offsetting,accelerated-emissions-offsetting,upfront-embodied-offsetting
1234,1.5471979190333016,1.5471979190333016,1.562044615809994,1.5753304443688783,1.5499582105855547
2451,1.7435439258769747,1.7435439258769747,1.7675044477552893,1.7896350250067512,1.747670850934426
5859,2.2762510582797004,2.2762510582797004,2.309866891763806,2.340005623683315,2.2822713536629
5883,1.4593909189013046,1.4593909189013046,1.4800288593831166,1.4986697170775078,1.462597918011306
14573,1.9928517213606407,1.9928517213606407,2.0160419242476104,2.047936259950748,1.997113339284238
15405,1.7205865652638908,1.7205865652638908,1.7348153904232015,1.7535817396848659,1.7235149143329773
16333,1.9675650592308347,1.9675650592308347,1.9987396812301543,2.0268448988760244,1.9724083751880037
17442,1.883650274394998,1.883650274394998,1.8866434884719445,1.8899415436625764,1.884772082881367
18747,1.9131492848289922,1.9131492848289922,1.933249344958554,1.9512464384845305,1.9166963182039214
18920,1.9680631105075783,1.9680631105075783,1.9947183459984996,2.0185693432637755,1.9725642603324018
19334,1.5732403628547003,1.5732403628547003,1.5821376104300628,1.5904927687145036,1.5754309529994772
20672,1.546079247605111,1.546079247605111,1.5757585534753165,1.6052241342121627,1.5497175914487262
22035,1.7556045618535523,1.7556045618535523,1.785956059739233,1.8131433796410366,1.7601781600037822
22820,2.2415299396443435,2.2415299396443435,2.280996839530464,2.3163128008940044,2.2476468026774405
23791,1.8324609422606275,1.8324609422606275,1.849636147956411,1.8650160410992285,1.8358548523531228
24718,2.520154836488912,2.520154836488912,2.568452561440121,2.6115684034846005,2.5271779340396985
25718,1.46416275001249,1.46416275001249,1.4735459802917084,1.4875251845332915,1.4664055997270233
25940,1.9064658979472968,1.9064658979472968,1.9251064922930226,1.9418352640430088,1.9104170019016313
26795,1.8556071340073024,1.8556071340073024,1.8706750809309773,1.884189705710928,1.8589427269973025
27777,2.7768703036332854,2.7768703036332854,2.832785379648705,2.8828187076737377,2.784930764066106
31415,1.5883269485365192,1.5883269485365192,1.5994002964591363,1.6138475641286194,1.590489244175506
31838,1.6674749983824504,1.6674749983824504,1.68901505521955,1.7082823414271588,1.6711575884395198
32253,1.507734730355053,1.507734730355053,1.5348740443535134,1.5591640039541588,1.5121823917012127
36982,2.315031900724118,2.315031900724118,2.3687610175544105,2.417022331815194,2.3229864543996683
38028,1.8754144958355292,1.8754144958355292,1.9099077218195943,1.9407772545986506,1.880775862360097
38322,1.6166183286903832,1.6166183286903832,1.633961976794274,1.649469014483145,1.6198116053115899
38775,1.7598784455417973,1.7598784455417973,1.7836586060048594,1.8049711808182556,1.7640100919636619
38827,1.8542580303707277,1.8542580303707277,1.8656149097888475,1.8758088089960905,1.8569897333587464
42880,2.157048905075784,2.157048905075784,2.184800698072052,2.209687635702526,2.162166039172052
44244,1.9547215671980225,1.9547215671980225,1.985005206495883,2.0121016421965607,1.9596631467764687
44403,1.5705113078494024,1.5705113078494024,1.5782882611775508,1.5852691324579966,1.5725455784991413
46428,1.7015378056306776,1.7015378056306776,1.7406575248921472,1.775746152430451,1.7072915334548926
47306,1.4029649431948437,1.4029649431948437,1.4247606401218829,1.4442991091905262,1.406483181362043
53259,1.7851604860541572,1.7851604860541572,1.814212534550669,1.8402577684219883,1.7901343862939454
53461,2.4472195595669577,2.4472195595669577,2.4983512938098587,2.5443868056369268,2.4546827445234554
55352,1.7607204455160175,1.7607204455160175,1.793035811207418,1.8219181125161887,1.7653850616065376
57778,2.035925097134526,2.035925097134526,2.0824880535580634,2.124371660067479,2.042724381122357
68803,1.4674510262735565,1.4674510262735565,1.491162799404999,1.5124060838109807,1.4712479636734268
71688,2.6075040147688933,2.6075040147688933,2.6419900254295077,2.6728995745116393,2.61387802259582
72773,1.4731950800294549,1.4731950800294549,1.4978718062943748,1.5248371350940617,1.4758977564692113
72836,1.8990417197361515,1.8990417197361515,1.9137886240435416,1.9270164414907311,1.9022835280830093
73150,1.9453905256317066,1.9453905256317066,1.9665872627834091,1.9855926380228717,1.949572173579433
79138,2.3463171582419338,2.3463171582419338,2.380202396224687,2.410569221063465,2.352143042533995
80252,2.5317246927976162,2.5317246927976162,2.574311630942074,2.6131403000414872,2.538783890549133
83061,1.4986560180113497,1.4986560180113497,1.5166547910666879,1.536271008080447,1.5019540799331976
84647,2.0875238841110315,2.0875238841110315,2.1086817165833973,2.1276482692729477,2.091547719683651
86031,1.7268372772913887,1.7268372772913887,1.7483289628179604,1.7675976356816234,1.7307562175554092
86763,2.0408324632006694,2.0408324632006694,2.0849232262434634,2.1252311229763925,2.0475436015269968
91384,2.561785722722198,2.561785722722198,2.6089205081457747,2.6511955357636605,2.569222051703916
91522,1.73358544539972,1.73358544539972,1.7648823243161817,1.7925216675706497,1.7379996575428278
91628,2.1560277321803034,2.1560277321803034,2.1938498110236337,2.227645749586329,2.161927968117914
95243,1.7286821630827445,1.7286821630827445,1.7529645532373421,1.7747432484874994,1.7329286365769536
102344,1.9538755019486362,1.9538755019486362,1.9817507271963735,2.006840953200123,1.9585262024572598
102652,1.7952560687603245,1.7952560687603245,1.8156922793507728,1.8340019391643152,1.799052021741299
103652,1.92871938027858,1.92871938027858,1.958521022986681,1.9850521016782336,1.9333017441882556
103919,2.265201901443566,2.265201901443566,2.301823770000777,2.3345539519311966,2.270841918229671
106704,1.85551835846909,1.85551835846909,1.8739237270710396,1.8947823335002674,1.859221727670233
107269,1.3710157872896085,1.3710157872896085,1.3965372944795915,1.4194014830345145,1.3751262242682716
108647,2.276694238984099,2.276694238984099,2.3073726805388306,2.334870215969807,2.282113379182165
109117,2.230608464393478,2.230608464393478,2.260087094746156,2.286561368151555,2.2355056467474665
111697,2.8448145276725096,2.8448145276725096,2.9174828832418926,2.982967845492943,2.855252941255098
113192,1.6062302218314846,1.6062302218314846,1.634055087962022,1.6590043360830644,1.6106331062622068
115603,1.864954999023206,1.864954999023206,1.8790153805162648,1.8916256721518863,1.8680486412143045
116740,1.983813554597001,1.983813554597001,2.01505809011126,2.043164944571017,1.9890988116494046
117148,1.701976838267649,1.701976838267649,1.7266963631629677,1.7488294939976947,1.7061394811893211
117225,2.316881643584019,2.316881643584019,2.366520780759678,2.4148868272649153,2.324261379788312
118218,2.1411688595880936,2.1411688595880936,2.18385304477534,2.223591537484353,2.146900283966022
119893,2.308900116710496,2.308900116710496,2.357711740905124,2.401574927825979,2.316310859442887
123225,1.7890968106540337,1.7890968106540337,1.8153452760231927,1.840796331730808,1.7935951144100506
124025,1.667304048368541,1.667304048368541,1.688017503843705,1.7065840083290449,1.6709962338436979
124466,1.9542153965248068,1.9542153965248068,1.9954626155256616,2.0324368815644505,1.9601422570717995
128230,2.060205046534954,2.060205046534954,2.0935050023069435,2.1233866269275805,2.0658137287794416
132602,1.5634179068308969,1.5634179068308969,1.5798049520996644,1.5944905068390798,1.5666557120721356
133229,2.469290889823942,2.469290889823942,2.521018768363386,2.5673471351936676,2.477127615526164
137127,2.142866428790291,2.142866428790291,2.178798443055171,2.211587496154593,2.1488914073564453
137713,1.7287361955563787,1.7287361955563787,1.7587192674929883,1.7854673814480655,1.7332938255918604
141406,2.694920675752467,2.694920675752467,2.758912762313939,2.81655560064143,2.7042310209725477
144110,2.1285962109195267,2.1285962109195267,2.167713953815046,2.2050417562009668,2.1347343625946356
144788,2.035045141792927,2.035045141792927,2.0795959059972975,2.1197165210501643,2.041670190897921
145278,1.7724402057543638,1.7724402057543638,1.810070176569918,1.8438860211971144,1.7778097385535652
148007,1.3917008884151494,1.3917008884151494,1.417491613517687,1.4405733346109013,1.3956930751855363
150955,2.1330066972944577,2.1330066972944577,2.1707487958472216,2.207224081497015,2.1384582026041126
154280,1.8866070450841244,1.8866070450841244,1.922561150190098,1.9548633698046778,1.8923422880460037
157705,2.1927280708238475,2.1927280708238475,2.2304771173172258,2.2641705824316505,2.198365961454992
157966,2.3877927079019345,2.3877927079019345,2.4174978780324077,2.444099951306725,2.3930260089196302
161451,2.4405143035395827,2.4405143035395827,2.494419281906914,2.5439784198239317,2.4483567682092215
161815,2.546301625694213,2.546301625694213,2.5748148174952386,2.6030293618869194,2.5515974463409075
162510,2.2533671184221693,2.2533671184221693,2.2935552600725173,2.3369154534038485,2.259900991237137
163461,2.0910429251068647,2.0910429251068647,2.1386869201460232,2.181299704998662,2.097892147704955
168997,2.1409175576268273,2.1409175576268273,2.183862609240159,2.2222768039782337,2.1473824198481815
169900,3.0097827117041023,3.0097827117041023,3.083002563801304,3.149007069191165,3.0203555228032966
170534,1.3148587416732926,1.3148587416732926,1.3281800809320303,1.340136042811545,1.3173481322584508
170865,2.311734318937339,2.311734318937339,2.364520400588171,2.411867378217683,2.3193388620470827
171727,2.7778099119779345,2.7778099119779345,2.8332375839903383,2.882887758032796,2.785746228033712
176753,1.9260589332977665,1.9260589332977665,1.9647412177670367,1.9994666608195273,1.9316370263639113
176937,1.6667915415091004,1.6667915415091004,1.6843625752828524,1.700098237731322,1.669876027000248
177899,1.8724471507115878,1.8724471507115878,1.8949119733379691,1.9150332779540316,1.8763372217571694
180626,2.0710588868304582,2.0710588868304582,2.113305103145815,2.151129389259971,2.077640807064671
181017,1.9619746098151272,1.9619746098151272,1.9970035208718253,2.0282556833105096,1.9669902708019193
182737,2.0152300385196447,2.0152300385196447,2.0595669226809736,2.0997015072082816,2.021856982182801
183119,2.7545776910311996,2.7545776910311996,2.819995108155459,2.878807644696429,2.764035124726111
186312,3.1670579228500246,3.1670579228500246,3.2413442261178136,3.308832809742896,3.177400720353103
187289,2.191373987105556,2.191373987105556,2.2409753579239258,2.285429035364509,2.198434932496462
188087,2.0058003342620445,2.0058003342620445,2.0211756039399003,2.037679914765387,2.0092053278786097
189728,1.511232853071602,1.511232853071602,1.5282401809390491,1.5467877742807747,1.514181099662856
194195,1.6774458023965202,1.6774458023965202,1.6989132616141667,1.7181490096970995,1.681247723477859
202110,1.5889727966549514,1.5889727966549514,1.6136672753659314,1.6357952344257425,1.5932222046838809
203339,2.6634713458461,2.6634713458461,2.704391726174863,2.7411161954551013,2.6700232894528066
203969,2.0032331395760496,2.0032331395760496,2.0293581870530835,2.052737061612582,2.00767657595835
206106,1.8052666718400838,1.8052666718400838,1.8477216599614699,1.8859399537560078,1.8113988170955806
